"Motor","Tahun","Harga","Alamat"
"Yamaha Soul Gt 125cc Bluecore SSS Tahun 2018 TT Mio, Beat, Soul","2018","Rp 8.950.000","Kramat Jati, Jakarta Timur"
"Yamaha Xride 125cc Bluecore Stnk Hilang Tahun 2018 TT Mio, Soul, Beat","2018","Rp 7.500.000","Kramat Jati, Jakarta Timur"
"Honda Genio 2020. Perakitan 2019","2020","Rp 9.500.000","Jati Sampurna, Bekasi Kota"
"Yamaha Mio S 125cc Bluecore Fi Tahun 2018 TT Mio J, Mio M3, Soul Gt","2018","Rp 7.950.000","Kramat Jati, Jakarta Timur"
"HONDA BEAT ECO 2019 MESIN OK SIAP PAKAI","2019","Rp 9.850.000","Kebayoran Lama, Jakarta Selatan"
"Fino Grande 125. 2019. Ss lengkap","2019","Rp 6.450.000","Cibitung, Bekasi Kab."
"yamaha fino 2018 joss siap pakai","2018","Rp 9.500.000","Pancoran, Jakarta Selatan"
"Yamaha Fino 125cc Bluecore Tahun 2019 TT Beat, Mio, Soul","2019","Rp 9.950.000","Kramat Jati, Jakarta Timur"
"Nex 2 Tahun 2019 Motor Cakep","2019","Rp 9.350.000","Tanjung Priok, Jakarta Utara"
"Nex 2 Tahun 2019 Mesin Adem","2019","Rp 9.350.000","Kelapa Gading, Jakarta Utara"
"Yamaha Fino 125cc Bluecore tahun 2019 {TT beat,Mio m3,Gear}","2019","Rp 9.950.000","Cibubur, Jakarta Timur"
"dijual motor listrik super rider  . full disign .body seperti motor .","2018","Rp 7.000.000","Tapos, Depok Kota"
"Honda beat new tahun 2020","2020","Rp 8.900.000","Cikarang Utara, Bekasi Kab."
"Yamaha Freego 2020","2020","Rp 9.500.000","Tanjung Priok, Jakarta Utara"
"Honda Beat 110cc Pgm Fi Modif Tahun 2018 TT Mio J, Soul Gt, Fino","2018","Rp 9.750.000","Kramat Jati, Jakarta Timur"
"yamaha fino 2018 siap pakai halus","2018","Rp 9.500.000","Pancoran, Jakarta Selatan"
"Jual Supra X 125 (Thn 2018) Kondisi Prima","2018","Rp 9.500.000","Kelapa Gading, Jakarta Utara"
"Motor listrik THN 2023 ( off the road)","2023","Rp 8.500.000","Cempaka Putih, Jakarta Pusat"
"Fino 125 . Grande 2019. Ss lengkap","2019","Rp 6.500.000","Cikarang Utara, Bekasi Kab."
"Yamaha Mio M3 tahun 2018 ss lengkap","2018","Rp 7.200.000","Cikarang Utara, Bekasi Kab."
"Jual cepat motor yamaha fino thn 2018 komplitbisa kridit","2018","Rp 9.250.000","Matraman, Jakarta Timur"
"Honda Beat ECO 2018 pajak hidup","2018","Rp 10.000.000","Pasar Minggu, Jakarta Selatan"
"YAMAHA FINO SPORTY 2018","2018","Rp 9.850.000","Matraman, Jakarta Timur"
"Honda beat 2019 ss lengkap","2019","Rp 6.500.000","Cilandak, Jakarta Selatan"
"Honda Beat Eco 2018 Pajak Hidup","2018","Rp 10.000.000","Kebayoran Lama, Jakarta Selatan"
"Motor roda tiga usaha","2019","Rp 6.500.000","Bambu Apus, Jakarta Timur"
"Yamaha Mio M3 125 hitam cari barter CBR 150r old","2018","Rp 8.500.000","Koja, Jakarta Utara"
"Mio Soul Gt 125 2018","2018","Rp 9.800.000","Tebet, Jakarta Selatan"
"Motor Listrik Uwinfly T3s Sudah dilengkapi surat","2023","Rp 9.000.000","Koja, Jakarta Utara"
"Dijual butuh vario 160","2022","Rp 6.500.000","Babelan, Bekasi Kab."
"Mio gt soul 2018 pajak  panjang kaleng panjang","2018","Rp 10.000.000","Pasar Minggu, Jakarta Selatan"
"Jual Motor Supra X Tahun 2019","2019","Rp 10.000.000","Tambora, Jakarta Barat"
"Honda Vario 2020 150cc Lengkap","2020","Rp 8.000.000","Matraman, Jakarta Timur"
"Motor listrik Uwinfly GT","2022","Rp 8.500.000","Tarumajaya, Bekasi Kab."
"Superb! Yamaha Mio M3 Th 2019 B-DKI Pjk Pnjg Full Original Siap Pakai","2019","Rp 9.850.000","Tebet, Jakarta Selatan"
"Honda supra x 125 fi cw 2018","2018","Rp 8.000.000","Cikarang Barat, Bekasi Kab."
"SUPRA X 125 FI INJEKSI TH 2018","2018","Rp 8.000.000","Cikarang Barat, Bekasi Kab."
"(bayar 800 bisa bawa pulng motor) X-Ride 2018 cash credt","2018","Rp 9.500.000","Koja, Jakarta Utara"
"kredit xride 2018 Dp 700rb proses cukup KTP&KK","2018","Rp 9.500.000","Tapos, Depok Kota"
"Dijual cepat motor listrik VOLTA 401","2023","Rp 9.000.000","Menteng, Jakarta Pusat"
"Yamaha mio s* 125cc _ th 2018.","2018","Rp 7.950.000","Kramat Jati, Jakarta Timur"
"Yamaha soul gt 125*cc th 2018* _","2018","Rp 8.950.000","Kramat Jati, Jakarta Timur"
"* yamaha fino 125cc _ th 2019 .","2019","Rp 9.950.000","Kramat Jati, Jakarta Timur"
"Honda Beat 110cc pgm-fi Modif Tahun 2018 TT Mio, Soul, Fino","2018","Rp 9.750.000","Kramat Jati, Jakarta Timur"
"Yamaha * mio m3 125* cc th 2019","2019","Rp 7.950.000","Kramat Jati, Jakarta Timur"
"Ready For To Sale","2018","Rp 9.900.000","Cilandak, Jakarta Selatan"
"Yamaha *gear 125cc th 2021_","2021","Rp 8.500.000","Kramat Jati, Jakarta Timur"
"Honda beat 2019 surat lengkap","2019","Rp 6.500.000","Mampang Prapatan, Jakarta Selatan"
"* honda supra x 125cc pgm fi  th 2018 _","2018","Rp 9.250.000","Kramat Jati, Jakarta Timur"
"Dijual Yamaha Mio125 2018","2018","Rp 9.900.000","Cikarang Barat, Bekasi Kab."
"Ready For To Sale","2018","Rp 6.900.000","Cilandak, Jakarta Selatan"
"HONDA REVO FIT 2018 BONUS VELG & BOX GIVI","2018","Rp 7.500.000","Mampang Prapatan, Jakarta Selatan"
"Ready For To Sale","2020","Rp 9.900.000","Cilandak, Jakarta Selatan"
"Ready For To Sale","2018","Rp 8.900.000","Cilandak, Jakarta Selatan"
"Yamaha mio m3 125 2019 biru","2019","Rp 8.800.000","Jati Sampurna, Bekasi Kota"
"Yamaha Mio 125 THN 2019","2019","Rp 8.700.000","Tarumajaya, Bekasi Kab."
"Ready For To Sale","2018","Rp 7.900.000","Cilandak, Jakarta Selatan"
